video_id,video_title,author,text,likes
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@guadaluperosas8919,Alejandra Garcia Escobedo ou,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@tonisanchez5024,hola,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@fabiosilva4101,Alejandra Garcia Escobedo oi,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@i8van46rodrigues7,@guadaluperosas8919  Ary ZhôAP,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@sida6760,pendeja,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@5adavidsouza222,facebook,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@martingarcia1361,"Ctes zch. bbn,",0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@bryanybrandon-nuestravida3668,"5 ?aDavid Souza David



si usted ha tuu",0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@bryanybrandon-nuestravida3668,"Martin Garcia 
mk",1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@aqibkhanaqibkhan9189,Bryan y Brandon- nuestra vida m,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@liepha8976,Maria Fernanda Cardona Calvillo.,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@giorgios838,Enderman 117 44,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@futuroytufamiliaffruf9573,"Valeria Monserrath Torres Torres 






talla",0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@valeriamonserrathtorrestor196,que,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@terezabraga7693,Valeria Monserrath Torres Torres,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@valeriamonserrathtorrestor196,mejor hadla,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@anadelamadrid4833,Valeria Monserrath Torres Torres efuijtinuvj,0
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@valeriamonserrathtorrestor196,Ana de la madrid hffffftbwgjuxgstgjvwhsffjgsisbcyshxowvpsyduGjsjsdhvsvddghhvsffbh jaja pendeja,1
l9r673GbR8k,SHOW DE LUCES CON DRONES DE INTEL EN  LA CARAVANA COCA-COLA,@brendaalinerosavicente8739,+Ana de la madrid parabéns sempre foi sempre é. e sempre será Coca cola,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@the_wolf_in_u,Coca cola la guerra de siempre,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@the_wolf_in_u,Coca cola la guerra de siempre,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@okansarica2888,Bir kola için bir tane çocuk öldürsin iarail,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@taitaiozilian1976,"Agora com a IA alguem podia fazer a musica com os outors 6 participantes pra ver como ficaria, se outros tivessem ganhado",0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@Jack_abner,pepsi is better,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@naimaguilar7362,Por qué no se mintieron,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@nadeekabandara9213,Nice ❤❤,0
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@AntonioIzazaga-bw9zd,Toño...💟💟😘,2
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@eutecontogames5147,Que saudade do antigo e velho K-suco,1
e2uBMW2vChs,Coca-Cola FanFeat – Junte seus ídolos no hit do ano,@SouLife999,Trash,1
